# CNOT only (paper Table 1). Primary TOTAL = benchmark_phasepoly set.
circuit,q,blk,Rz,pp,mst,gstair,gray,naive,todd_naive,pp_mst_pct,pp_gray_pct,ok,error,set
barenco_tof_10_pyzx,19,36,155,161,212,207,207,257,257,76,78,1,,paper
barenco_tof_3_pyzx,5,6,22,21,31,29,29,37,37,68,72,1,,paper
barenco_tof_4_pyzx,7,11,41,40,58,55,55,67,67,69,73,1,,paper
barenco_tof_5_pyzx,9,15,60,60,82,81,81,99,99,73,74,1,,paper
grover_5_pyzx,9,84,252,262,342,340,340,426,426,77,77,1,,paper
ham15-high_pyzx,20,498,1594,1798,2649,2752,2612,3151,3151,68,69,1,,paper
ham15-low_pyzx,17,53,125,227,293,306,294,330,330,77,77,1,,paper
ham15-med_pyzx,17,109,325,440,602,642,602,685,685,73,73,1,,paper
mod5_4_pyzx,5,4,15,17,24,23,22,32,32,71,77,1,,paper
mod_mult_55_pyzx,9,10,37,45,74,71,71,83,83,61,63,1,,paper
mod_red_21_pyzx,11,37,91,89,129,129,130,152,152,69,68,1,,paper
qcla_com_7_pyzx,24,42,131,137,204,214,212,248,248,67,65,1,,paper
qcla_mod_7_pyzx,26,106,299,301,484,513,480,543,543,62,63,1,,paper
rc_adder_6_pyzx,14,27,62,65,101,97,97,119,119,64,67,1,,paper
tof_10_pyzx,19,35,95,85,153,145,145,173,173,56,59,1,,paper
tof_3_pyzx,5,6,18,16,28,26,26,30,30,57,62,1,,paper
tof_4_pyzx,7,11,29,25,45,43,43,47,47,56,58,1,,paper
tof_5_pyzx,9,15,40,35,63,60,60,68,68,56,58,1,,paper
vbe_adder_3_pyzx,10,12,37,45,64,67,63,81,81,70,71,1,,paper
adder_8_pyzx,24,67,184,272,365,359,353,438,438,75,77,1,,extended
Adder8_pyzx,23,35,68,135,163,179,158,186,186,83,85,1,,extended
Adder16_pyzx,47,78,148,326,349,382,339,399,399,93,96,1,,extended
Adder32_pyzx,95,140,283,632,738,815,713,855,855,86,89,1,,extended
Adder64_pyzx,191,301,590,1350,1502,1645,1458,1726,1726,90,93,1,,extended
qcla_adder_10_pyzx,36,58,166,171,258,273,262,306,306,66,65,1,,extended
mod_adder_1024_pyzx,28,458,1059,1244,1959,1904,1856,2208,2208,64,67,1,,extended
hwb6_pyzx,7,31,85,90,137,145,138,162,162,66,65,1,,extended
hwb8_pyzx,12,1471,4004,5803,8285,8445,8085,9391,9391,70,72,1,,extended
