# phase-only: CX+Rz inside synthesized phase-polynomial blocks (excludes H/Toffoli/T boundaries)
circuit,q,blk,Rz,pp,mst,gstair,gray,naive,todd_naive,pp_mst_pct,pp_gray_pct,ok,error
tof_3_pyzx,5,6,15,30,39,39,39,43,43,76,76,1,
tof_4_pyzx,7,11,23,46,62,62,62,66,66,74,74,1,
tof_5_pyzx,9,15,31,63,86,85,85,93,93,73,74,1,
tof_10_pyzx,19,35,71,148,206,200,200,228,228,71,74,1,
barenco_tof_3_pyzx,5,6,17,36,42,42,42,48,48,85,85,1,
barenco_tof_4_pyzx,7,11,30,66,76,75,75,85,85,86,88,1,
barenco_tof_5_pyzx,9,15,42,103,112,109,109,123,123,91,94,1,
barenco_tof_10_pyzx,19,36,103,262,278,268,268,302,302,94,97,1,
grover_5_pyzx,9,85,188,418,517,498,482,568,568,80,86,1,
ham15-low_pyzx,17,53,103,316,368,375,369,403,403,85,85,1,
ham15-med_pyzx,17,109,217,609,715,727,703,771,771,85,86,1,
ham15-high_pyzx,20,498,1072,2764,3262,3309,3173,3586,3586,84,87,1,
adder_8_pyzx,24,67,184,456,549,543,537,622,622,83,84,1,
Adder8_pyzx,23,35,68,203,231,247,226,254,254,87,89,1,
Adder16_pyzx,47,78,148,474,497,530,487,547,547,95,97,1,
Adder32_pyzx,95,140,283,915,1021,1098,996,1138,1138,89,91,1,
Adder64_pyzx,191,301,590,1940,2092,2235,2048,2316,2316,92,94,1,
vbe_adder_3_pyzx,10,12,25,80,82,90,80,94,94,97,100,1,
rc_adder_6_pyzx,14,27,49,115,132,132,132,154,154,87,87,1,
qcla_adder_10_pyzx,36,58,166,337,424,439,428,472,472,79,78,1,
mod_red_21_pyzx,11,37,84,162,191,190,189,211,211,84,85,1,
mod_mult_55_pyzx,9,10,35,74,105,104,104,116,116,70,71,1,
mod_adder_1024_pyzx,28,458,1059,2303,3018,2963,2915,3267,3267,76,79,1,
mod5_4_pyzx,5,4,8,26,25,26,26,30,30,104,100,1,
hwb6_pyzx,7,31,85,175,222,230,223,247,247,78,78,1,
hwb8_pyzx,12,1471,4004,9807,12289,12449,12089,13395,13395,79,81,1,
